정책문서,카테고리,수집일
"정부는 노동시장 구조 변화에 대응하여 직업훈련과 전직 지원을 확대하고, 산업 전환기에 발생하는 소득 충격을 완화한다. 이를 위해 데이터 기반 수요 예측을 활용하고, 지역별 수요에 맞춘 맞춤형 프로그램을 제공한다. 성과는 취업률과 임금으로 평가한다.",경제정책,2024-10-20
"정부는 혁신 투자 촉진을 위해 R&D 지원을 확대하고, 민간의 기술 개발을 유도하는 인센티브를 강화한다. 또한 규제 샌드박스와 실증 사업을 연계하여 상용화 속도를 높인다. 정책 성과는 특허, 매출, 고용 지표로 점검한다.",경제정책,2025-02-14
"정부는 내수 활성화를 위해 소비 진작 정책을 추진하되, 취약계층 지원과 지역 상권 활성화를 함께 고려한다. 효과 측정은 지역별 매출, 카드 사용, 방문자 수 등의 데이터를 활용하여 수행하며, 외부 충격 요인은 통제한다. 결과에 따라 단계적 조정을 시행한다.",경제정책,2025-05-05
"정부는 성장 잠재력 제고를 위해 인프라 투자와 인력 양성 정책을 연계하고, 산업 구조 고도화를 지원한다. 특히 신산업 분야의 창업 지원과 기술 인력 공급을 강화하며, 성과는 생산성 및 고용의 질 지표로 평가한다. 리스크 관리는 사전평가로 보완한다.",경제정책,2025-07-25
"정부는 금융시장 안정과 자본시장 선진화를 위해 감독 체계를 강화하고, 투자자 보호 장치를 확대한다. 동시에 기업의 자금 조달 비용을 낮추기 위한 제도 개선을 추진하며, 정책 효과는 시장 변동성과 유동성 지표를 통해 점검한다. 국제 기준과 정합성도 확보한다.",경제정책,2025-10-12
"정부는 경제 구조 전환을 지원하기 위해 산업 고도화 전략을 추진하고, 생산성 향상과 수출 다변화를 촉진한다. 이를 위해 규제 정비와 인센티브 제공을 병행하며, 정책 효과는 장기 추세와 단기 충격을 구분하여 분석한다. 평가 결과는 공개한다.",경제정책,2025-10-28
"정부는 탄소중립 달성을 위해 재생에너지 확대와 에너지 효율 개선 정책을 추진한다. 이를 위해 건물·산업 부문의 에너지 사용을 모니터링하고, 효율 투자에 대한 보조금과 금융 지원을 확대한다. 성과는 배출량과 에너지 집약도 지표로 평가한다.",환경정책,2024-02-05
"정부는 기후변화 대응을 위해 온실가스 감축 로드맵을 수립하고, 산업별 감축 목표를 정교화한다. 정책 설계 시 경제적 부담과 형평성을 고려하며, 배출권 거래제와 규제의 조합 효과를 분석한다. 정책 효과는 장기 시계열로 점검한다.",환경정책,2024-03-28
"정부는 재생에너지 보급을 확대하기 위해 태양광·풍력 인허가 절차를 개선하고, 계통 연계를 강화한다. 또한 지역 주민과의 갈등을 완화하기 위해 이익 공유 모델을 도입하고, 환경 영향 평가의 품질을 높인다. 성과는 발전 비중과 비용으로 평가한다.",환경정책,2024-05-20
"정부는 대기질 개선을 위해 미세먼지 배출 저감 정책을 강화하고, 산업·수송 부문 관리 기준을 정비한다. 정책의 효과는 측정소 데이터와 건강 지표를 연계해 평가하며, 외부 요인(기상, 국외 영향)을 통제한 분석을 병행한다. 결과는 공개한다.",환경정책,2024-07-08
"정부는 녹색 산업 육성을 위해 친환경 기술 R&D를 확대하고, 그린 금융을 활성화한다. 이를 위해 녹색 분류체계를 정비하고, 민간 투자를 유인하는 제도적 기반을 강화한다. 성과는 투자 규모와 기술 성과로 평가한다.",환경정책,2024-08-25
"정부는 물 관리 정책을 고도화하여 가뭄·홍수 위험을 완화하고, 유역 단위의 통합 관리를 강화한다. 이를 위해 수문 데이터와 기상 예측을 결합한 조기 경보 체계를 개선하고, 취약 지역의 인프라 투자를 확대한다. 성과는 피해 감소로 평가한다.",환경정책,2024-10-01
"정부는 자원 순환을 강화하기 위해 재활용 인프라를 확충하고, 생산 단계에서의 폐기물 감축을 유도한다. 이를 위해 제품 설계 기준을 강화하고, 회수·재활용 체계를 고도화한다. 정책 효과는 재활용률과 폐기물 발생량으로 점검한다.",환경정책,2025-02-02
"정부는 기후 적응 정책을 강화하여 폭염·한파 등 극한 기상에 대한 취약성을 줄인다. 이를 위해 지역별 위험도 지도를 구축하고, 취약 계층 보호를 위한 지원 체계를 마련한다. 정책 효과는 건강 지표와 피해 규모를 통해 평가한다.",환경정책,2025-04-18
"정부는 탄소중립 정책의 수용성을 높이기 위해 이해관계자 협의를 강화하고, 산업 전환 지원을 확대한다. 비용 부담과 일자리 전환 문제를 고려하여 보완 정책을 설계하며, 성과는 배출량과 전환 비용 지표로 평가한다. 사회적 합의 과정을 공개한다.",환경정책,2025-07-01
"정부는 에너지 전환 과정에서 전력계통의 안정성을 확보하기 위해 저장장치와 수요관리 정책을 확대한다. 이를 위해 실시간 수요 예측과 가격 신호를 활용한 수요 반응 프로그램을 운영하며, 성과는 피크 저감과 정전 위험 감소로 평가한다.",환경정책,2025-09-10
"정부는 지속가능한 환경 정책을 위해 데이터 기반 모니터링을 강화하고, 위성·센서 데이터를 활용한 배출 추정 기술을 도입한다. 이를 통해 정책 집행의 사각지대를 줄이고, 평가의 객관성을 확보한다. 결과는 국제 기준에 맞춰 보고한다.",환경정책,2025-10-20
"정부는 국민 건강을 증진하기 위해 예방 중심의 보건 정책을 강화하고, 지역 의료 접근성을 개선한다. 이를 위해 만성질환 관리 프로그램을 확대하고, 취약 지역의 의료 인프라를 확충한다. 정책 효과는 의료 이용과 건강 지표로 평가한다.",보건정책,2024-01-12
"정부는 감염병 대응 역량을 강화하기 위해 감시 체계를 고도화하고, 백신·치료제 확보 전략을 수립한다. 특히 데이터 기반 조기 경보 시스템을 개선하고, 의료 자원의 배분 효율을 높인다. 성과는 확산 속도와 치명률 지표로 평가한다.",보건정책,2024-04-10
"정부는 정신건강 지원을 확대하여 상담 접근성을 높이고, 자살 예방 정책을 강화한다. 이를 위해 지역 센터를 확충하고, 온라인 상담 채널을 고도화한다. 정책 효과는 이용률과 위험 지표 변화로 평가하며, 개인정보 보호를 철저히 한다.",보건정책,2024-06-28
"정부는 의료비 부담을 완화하기 위해 보장성 강화와 합리적 지출 관리를 병행한다. 이를 위해 진료 적정성 평가와 예방 서비스 확대를 연계하고, 고가 치료의 비용 효과성을 검토한다. 성과는 본인부담률과 건강 성과로 평가한다.",보건정책,2024-09-22
"정부는 고령화에 대응하여 돌봄 서비스의 품질을 높이고, 지역사회 기반 통합 돌봄을 확대한다. 이를 위해 인력 양성과 서비스 표준화를 추진하며, 성과는 이용자 만족도와 재입원률로 평가한다. 지속가능한 재원 조달도 마련한다.",보건정책,2025-02-25
"정부는 보건의료 데이터의 활용을 확대하되, 개인정보 보호와 비식별화 기준을 강화하여 데이터 기반 정책의 신뢰성을 확보한다. 이를 위해 표준 용어 체계와 데이터 품질 기준을 정비하고, 연구·정책 평가에 필요한 안전한 접근 절차를 마련한다. 성과는 데이터 활용도와 안전성 지표로 평가한다.",보건정책,2025-03-12
"정부는 지역 보건의료 공백을 완화하기 위해 공공의료 인력 지원과 원격 협진 체계를 강화한다. 이를 위해 응급·분만 등 필수 의료의 접근성을 높이고, 의료 취약지의 서비스 품질을 개선한다. 정책 효과는 이용률과 응급 이송 시간, 건강 성과로 점검한다.",보건정책,2025-04-30
"정부는 건강 격차 해소를 위해 저소득층·노인 대상의 예방 서비스와 만성질환 관리 지원을 확대한다. 이를 위해 지역 보건소와 민간 의료기관의 협력을 강화하고, 건강검진 후 사후 관리 체계를 개선한다. 성과는 합병증 발생과 입원율 감소로 평가한다.",보건정책,2025-07-08
"정부는 보건 위기 대응을 위해 의료 자원의 실시간 모니터링과 배분 최적화를 추진한다. 이를 위해 병상·인력·물자 데이터를 통합 관리하고, 지역별 수요 예측을 기반으로 대응 계획을 업데이트한다. 성과는 대응 시간과 의료 과부하 지표로 점검한다.",보건정책,2025-08-26
"정부는 의료 서비스의 질을 높이기 위해 진료 성과 지표를 표준화하고, 환자 경험을 반영한 평가 체계를 도입한다. 이를 위해 의료기관의 자율적 개선을 지원하고, 과잉·과소 진료를 줄이는 적정성 기준을 강화한다. 성과는 재입원률과 만족도로 평가한다.",보건정책,2025-10-02
"정부는 일자리 창출을 위해 청년 고용 지원과 직업훈련을 확대하고, 맞춤형 취업 지원을 강화한다. 이를 위해 산업 수요 예측을 활용한 훈련 과정을 개편하고, 취업 연계 프로그램을 운영한다. 성과는 취업률과 고용 유지로 평가한다.",고용정책,2024-02-18
"정부는 고용 안전망을 강화하기 위해 실업급여 제도를 개선하고, 취약 노동자 보호를 확대한다. 이를 위해 플랫폼 노동자와 프리랜서의 보호 범위를 검토하고, 소득 파악 체계를 정비한다. 성과는 사각지대 감소와 재취업으로 평가한다.",고용정책,2024-05-08
"정부는 중장년 전직 지원을 강화하여 구조 변화에 따른 고용 충격을 완화한다. 이를 위해 맞춤형 컨설팅과 재교육 프로그램을 제공하고, 지역별 일자리 매칭 플랫폼을 고도화한다. 성과는 전직 성공률과 임금 회복으로 평가한다.",고용정책,2024-08-12
"정부는 여성 고용 촉진을 위해 돌봄 인프라를 확충하고, 유연근무 제도를 확산한다. 이를 위해 기업 인센티브를 제공하고, 경력단절 예방을 위한 지원 프로그램을 운영한다. 성과는 고용률과 경력 유지 지표로 평가한다.",고용정책,2024-11-03
"정부는 청년 창업을 지원하기 위해 초기 자금과 멘토링을 확대하고, 창업 생태계의 네트워크를 강화한다. 이를 위해 규제 개선과 공공 조달 연계를 추진하며, 성과는 생존율과 고용 창출로 평가한다. 실패 부담을 줄이는 제도도 마련한다.",고용정책,2025-03-28
"정부는 고용 서비스의 효과를 높이기 위해 구직자 특성에 따른 맞춤형 상담과 훈련 과정을 제공하고, 민간 채용 플랫폼과의 연계를 확대한다. 이를 위해 데이터 기반 매칭 알고리즘의 성능을 점검하고, 취업 이후 유지 지원을 강화한다. 성과는 취업 지속률과 재취업 기간으로 평가한다.",고용정책,2025-04-22
"정부는 지역 일자리 격차를 완화하기 위해 산업단지와 연계한 훈련·채용 프로그램을 확대하고, 이동·주거 지원을 강화한다. 이를 위해 수요가 큰 직무를 중심으로 훈련을 재설계하고, 구인·구직 정보를 통합 제공한다. 성과는 지역 취업률과 기업 충원 기간으로 평가한다.",고용정책,2025-06-04
"정부는 취약계층 고용을 지원하기 위해 사회서비스 일자리와 직무 기반 훈련을 확대하고, 고용 유지에 필요한 사후 지원을 강화한다. 이를 위해 현장 코칭과 적응 지원을 제공하며, 성과는 고용 유지율과 소득 변화로 평가한다. 정책의 형평성도 점검한다.",고용정책,2025-07-18
"정부는 산업 전환기에 발생하는 고용 충격을 완화하기 위해 전환 지원금과 재교육 프로그램을 연계하고, 기업의 고용 조정 비용을 줄이는 제도적 지원을 마련한다. 이를 위해 조기 경보 지표를 구축하고, 대상자 선별의 정확성을 높인다. 성과는 실업 기간과 전직 성공률로 평가한다.",고용정책,2025-09-02
"정부는 일자리 정책의 효과성을 높이기 위해 실험적 정책 설계와 무작위 배정 기반의 평가를 확대하고, 현장 데이터를 활용한 지속적 개선을 추진한다. 이를 위해 참여자 보호와 윤리 기준을 강화하고, 결과 공개를 통해 투명성을 확보한다. 성과는 비용 대비 효과로 평가한다.",고용정책,2025-10-15
"정부는 교육 혁신을 위해 AI 기반 맞춤형 학습을 확대하고, 교원의 디지털 역량을 강화한다. 이를 위해 학습 데이터 활용 기준을 정비하고, 교육 현장의 적용을 위한 지원 체계를 구축한다. 성과는 학업 성취와 격차 완화로 평가한다.",교육정책,2024-03-14
"정부는 교육의 형평성을 높이기 위해 취약계층 지원과 지역 교육 격차 해소 정책을 강화한다. 이를 위해 방과후 프로그램과 학습 지원 인프라를 확충하고, 지역 대학과 연계한 멘토링을 운영한다. 성과는 성취도와 진학률로 평가한다.",교육정책,2024-06-02
"정부는 미래 교육을 위해 소프트웨어·AI 교육을 강화하고, 프로젝트 기반 학습을 확대한다. 이를 위해 교육 과정과 평가 방식을 개선하며, 현장 교원 지원을 강화한다. 성과는 역량 지표와 만족도로 점검한다.",교육정책,2024-09-07
"정부는 학습 안전과 학교 환경 개선을 위해 시설 투자와 안전 점검을 강화한다. 이를 위해 노후 시설을 개선하고, 안전 교육을 확대하며, 정책 효과는 사고 감소와 만족도로 평가한다. 지역별 우선순위를 반영하여 투자한다.",교육정책,2025-01-12
"정부는 고등교육 경쟁력을 높이기 위해 산학 협력을 강화하고, 연구·교육의 질을 향상한다. 이를 위해 대학 재정 지원의 성과 기준을 강화하고, 지역 혁신과 연계한 인재 양성을 추진한다. 성과는 취업률과 연구 성과로 평가한다.",교육정책,2025-05-30
"정부는 학습 결손을 완화하기 위해 기초학력 지원과 맞춤형 보충 학습 프로그램을 확대한다. 이를 위해 학교·가정·지역의 협력 체계를 강화하고, 학습 진단 도구를 활용하여 개별 학생의 필요를 파악한다. 성과는 기초학력 도달률과 격차 감소로 평가한다.",교육정책,2025-06-20
"정부는 교실 수업의 질을 높이기 위해 교원 연수와 수업 코칭을 강화하고, 데이터 기반 학습 분석을 시범 적용한다. 이를 위해 교육 데이터의 활용 기준을 정비하고, 학생의 개인정보 보호를 강화한다. 성과는 수업 만족도와 학습 성취 변화로 평가한다.",교육정책,2025-07-12
"정부는 디지털 교과서와 학습 플랫폼을 고도화하여 학습 자료 접근성을 높이고, 학습 경로 추천 기능을 개선한다. 이를 위해 콘텐츠 품질 기준을 마련하고, 장애 학생을 위한 접근성 기능을 강화한다. 성과는 이용률과 학습 성취로 평가한다.",교육정책,2025-08-24
"정부는 진로·직업 교육을 강화하여 산업 수요에 맞는 역량을 키우고, 지역 기업과의 협력을 확대한다. 이를 위해 현장 실습과 프로젝트 기반 학습을 확대하며, 성과는 취업률과 자격 취득률로 평가한다. 정책의 안전 관리도 강화한다.",교육정책,2025-09-18
"정부는 교육 재정의 효율성을 높이기 위해 사업 성과 평가를 강화하고, 중복 사업을 정비한다. 이를 위해 지표 설계를 고도화하고, 학교 현장의 행정 부담을 줄이는 방향으로 제도를 개선한다. 성과는 학생 지원의 실질적 개선으로 점검한다.",교육정책,2025-10-09
"정부는 과학기술 혁신을 위해 R&D 투자와 인력 양성을 확대하고, 연구 성과의 사업화를 촉진한다. 이를 위해 연구 지원 체계를 개선하고, 기술 이전과 창업 지원을 강화한다. 성과는 특허와 매출, 고용으로 평가한다.",과학기술정책,2024-01-30
"정부는 첨단 기술 개발을 위해 핵심 분야의 전략적 투자를 추진하고, 산학연 협력 플랫폼을 강화한다. 이를 위해 데이터·AI·바이오 등 분야별 로드맵을 수립하고, 성과는 기술 성숙도와 국제 경쟁력 지표로 평가한다.",과학기술정책,2024-04-18
"정부는 연구 생태계의 지속가능성을 높이기 위해 연구자 지원과 평가 제도를 개선한다. 이를 위해 장기 연구를 지원하고, 연구 행정 부담을 줄이며, 성과는 질적 영향과 인용 지표로 평가한다. 연구 윤리 교육도 강화한다.",과학기술정책,2024-07-15
"정부는 혁신 기술의 사회적 수용성을 높이기 위해 윤리·안전 가이드라인을 정비하고, 이해관계자 소통을 강화한다. 이를 위해 기술 영향평가를 도입하고, 위험 관리 체계를 구축한다. 성과는 사고 감소와 신뢰도 조사로 평가한다.",과학기술정책,2024-10-25
"정부는 국가 경쟁력 강화를 위해 전략 기술의 공급망을 안정화하고, 인력 부족 문제를 완화한다. 이를 위해 교육·이민·산업 정책을 연계하며, 성과는 기술 인력 수급과 기업 성과로 평가한다. 국제 협력도 확대한다.",과학기술정책,2025-06-12
"정부는 연구 데이터의 개방과 재현성을 강화하여 과학기술 정책의 신뢰성을 높인다. 이를 위해 데이터 관리 계획(DMP)을 확산하고, 공공 R&D의 성과 데이터가 표준 포맷으로 공유되도록 지원한다. 성과는 재사용 건수와 연구 효율성으로 평가한다.",과학기술정책,2025-07-03
"정부는 AI·반도체·바이오 등 전략 분야의 인재 양성을 위해 교육 과정과 현장 실습을 강화하고, 기업과 대학의 협력 모델을 확산한다. 이를 위해 장학 지원과 연구 인턴십을 확대하며, 성과는 취업 연계와 기술 성과로 평가한다.",과학기술정책,2025-08-16
"정부는 기술 혁신의 확산을 위해 표준화와 테스트베드를 확대하고, 중소기업의 기술 도입 비용을 낮춘다. 이를 위해 공동 장비 활용과 컨설팅 지원을 제공하며, 성과는 도입률과 생산성 향상으로 평가한다. 지역 혁신 센터와 연계한다.",과학기술정책,2025-09-09
"정부는 국제 공동 연구를 확대하여 연구의 질과 영향력을 높이고, 글로벌 과학기술 네트워크를 강화한다. 이를 위해 공동 펀딩과 연구자 교류 프로그램을 운영하며, 성과는 공동 논문과 인용 영향력으로 평가한다. 연구 윤리 기준도 강화한다.",과학기술정책,2025-10-06
"정부는 과학기술 정책의 효과성을 높이기 위해 평가 체계를 고도화하고, 장기 성과와 단기 성과를 구분하여 관리한다. 이를 위해 기술 성숙도와 파급효과 지표를 정교화하고, 평가 결과를 예산 배분에 반영한다. 투명한 공개도 병행한다.",과학기술정책,2025-10-29
"정부는 지역 균형 발전을 위해 인프라 투자와 일자리 창출 정책을 연계하고, 지역 산업의 경쟁력을 강화한다. 이를 위해 교통·주거·디지털 인프라를 개선하고, 지역 혁신 기관과의 협업을 확대한다. 성과는 인구 유출 감소로 평가한다.",지역개발정책,2024-02-22
"정부는 낙후 지역의 활성화를 위해 도시 재생과 상권 회복 정책을 추진한다. 이를 위해 공공 투자와 민간 참여를 결합하고, 지역 공동체 기반 사업을 확대한다. 성과는 공실률과 방문자 수, 만족도로 평가한다.",지역개발정책,2024-06-10
"정부는 지방소멸 대응을 위해 정주 여건 개선과 청년 유입 정책을 강화한다. 이를 위해 주거 지원과 창업 지원을 확대하고, 지역 대학과의 연계를 강화한다. 성과는 인구 이동과 고용 지표로 평가한다.",지역개발정책,2024-09-28
"정부는 지역 산업의 전환을 지원하기 위해 맞춤형 R&D와 인력 양성을 강화한다. 이를 위해 지역 기업과 대학을 연계한 프로그램을 운영하고, 성과는 지역 매출과 고용으로 평가한다. 성과 기반의 지원 체계를 도입한다.",지역개발정책,2025-03-10
"정부는 지역 관광 활성화를 위해 문화 자원과 지역 축제를 연계하고, 방문자 경험을 개선한다. 이를 위해 데이터 기반 수요 분석을 활용하고, 성과는 방문자 수와 체류 시간으로 평가한다. 지역 주민의 삶의 질도 함께 고려한다.",지역개발정책,2025-07-22
"정부는 지역 창업 생태계를 강화하기 위해 창업 공간과 투자 연계 프로그램을 확대하고, 지역 대학과의 협력을 강화한다. 이를 위해 멘토링과 판로 지원을 제공하며, 성과는 창업 생존율과 고용 창출로 평가한다. 지역 특성을 반영한 분야를 우선 지원한다.",지역개발정책,2025-08-08
"정부는 지역 교통 접근성을 개선하기 위해 대중교통 연계와 이동 약자 지원을 강화한다. 이를 위해 노선 최적화와 수요응답형 교통을 확대하며, 성과는 이동 시간 단축과 접근성 지표 개선으로 평가한다. 주민 의견 수렴을 정례화한다.",지역개발정책,2025-09-01
"정부는 지역 주거 여건을 개선하기 위해 공공임대와 도시 재생을 연계하고, 생활 SOC를 확충한다. 이를 위해 노후 주거지의 안전을 점검하고, 에너지 효율 개선을 지원한다. 성과는 주거 만족도와 인구 유출 감소로 평가한다.",지역개발정책,2025-09-25
"정부는 지역 혁신 프로젝트의 효과를 높이기 위해 성과지표를 정교화하고, 사업 간 연계를 강화한다. 이를 위해 데이터 기반 모니터링을 도입하고, 우수 사례를 확산한다. 성과는 지역 매출과 고용, 주민 만족도 변화로 평가한다.",지역개발정책,2025-10-18
"정부는 사이버 보안을 강화하기 위해 주요 기반시설의 보안 점검을 확대하고, 위협 대응 체계를 고도화한다. 이를 위해 침해사고 대응 훈련과 모의 공격 테스트를 정례화하고, 성과는 사고 감소와 대응 시간으로 평가한다. 민관 협력도 강화한다.",보안정책,2024-01-18
"정부는 개인정보 보호를 강화하기 위해 규제 준수와 기술적 보호 조치를 확대하고, 공공기관의 보안 거버넌스를 정비한다. 이를 위해 접근 통제와 로그 감사 체계를 강화하며, 성과는 유출 사고 감소와 점검 결과로 평가한다. 교육과 훈련을 병행한다.",보안정책,2024-05-18
"정부는 디지털 서비스 확대에 따라 보안 위험을 관리하기 위해 제로 트러스트 모델을 도입하고, 인증·권한 체계를 강화한다. 이를 위해 다요소 인증과 권한 최소화 원칙을 적용하며, 성과는 보안 사고와 탐지율로 평가한다. 운영 지침을 표준화한다.",보안정책,2024-09-12
"정부는 사이버 위협 정보 공유를 확대하여 공격 징후를 조기에 탐지하고, 기관 간 대응 협업을 강화한다. 이를 위해 표준 포맷 기반의 공유 체계를 구축하고, 성과는 탐지 시간 단축과 피해 감소로 평가한다. 민간 기업과의 연계도 확대한다.",보안정책,2025-02-18
"정부는 AI 활용 확산에 따른 보안과 안전 문제를 관리하기 위해 모델 보안 점검과 데이터 보호 절차를 강화한다. 이를 위해 프롬프트 인젝션과 데이터 유출 위험을 점검하고, 성과는 사고 건수와 점검 결과로 평가한다. 책임 있는 운영 원칙을 수립한다.",보안정책,2025-10-01
